protein_accessions	count	number_accessions_group
['GCA_173368']	2	1
['GCA_133445']	2	1
['GCA_119119']	2	1
['GCA_130741']	2	1
['GCA_289047']	2	1
['GCA_170013']	2	1
['GCA_106340']	2	1
['GCA_246304']	2	1
['GCA_149168']	2	1
['GCA_27916']	2	1
['GCA_228364']	2	1
['GCA_235990']	2	1
['GCA_194535', 'GCA_163462']	2	2
['GCA_150398']	2	1
['GCA_216072']	2	1
['GCA_96300']	2	1
['GCA_124694']	2	1
['GCA_186736']	2	1
['GCA_214212']	2	1
['GCA_194755', 'GCA_115373']	2	2
['GCA_250673', 'GCA_145792']	2	2
['GCA_296878']	2	1
['GCA_125577']	2	1
['GCA_184050']	2	1
['GCA_138422']	2	1
['GCA_118221']	2	1
['GCA_94932']	2	1
['GCA_260836']	2	1
['GCA_240439']	2	1
['GCA_152676']	2	1
['GCA_23998']	2	1
['GCA_252842']	2	1
['GCA_155843']	2	1
['GCA_1018']	2	1
['GCA_210069']	2	1
['GCA_279573']	2	1
['GCA_52939', 'GCA_52937', 'GCA_201334', 'GCA_201333']	2	4
['GCA_185967']	2	1
['GCA_319146']	2	1
['GCA_295309']	2	1
['GCA_298622', 'GCA_184208']	2	2
['GCA_209839']	2	1
['GCA_152386']	2	1
['GCA_120084']	2	1
['GCA_244', 'GCA_160147', 'GCA_107215']	2	3
['GCA_184932', 'GCA_158048', 'GCA_109034']	2	3
['GCA_236149']	2	1
['GCA_1532']	2	1
['GCA_197067', 'GCA_165331']	2	2
['GCA_188518', 'GCA_188517', 'GCA_188516', 'GCA_103537', 'GCA_103536', 'GCA_103535']	2	6
['GCA_227025']	2	1
['GCA_291736']	2	1
['GCA_232791']	2	1
['GCA_40992']	2	1
['GCA_298996', 'GCA_270111', 'GCA_171830']	2	3
['GCA_228130']	2	1
['GCA_310970']	2	1
['GCA_265483']	2	1
['GCA_189154']	2	1
['GCA_86518']	2	1
['GCA_90028']	2	1
['GCA_285069']	2	1
['GCA_240128']	2	1
['GCA_190167']	2	1
['GCA_79053']	2	1
['GCA_118449', 'GCA_118448']	2	2
['GCA_251725']	2	1
['GCA_138998']	2	1
['GCA_276900']	2	1
['GCA_256389']	2	1
['GCA_163198', 'GCA_117315']	2	2
['GCA_120323']	2	1
['GCA_21585']	2	1
['GCA_57633']	2	1
['GCA_98753', 'GCA_233030', 'GCA_208204']	2	3
['GCA_64219']	2	1
['GCA_147015']	2	1
['GCA_134493']	2	1
['GCA_70344']	2	1
['GCA_255904']	2	1
['GCA_22325', 'GCA_22324']	2	2
['GCA_97306']	2	1
['GCA_256887']	2	1
['GCA_195742']	2	1
['GCA_92783', 'GCA_254614', 'GCA_185954', 'GCA_154004']	2	4
['GCA_189825']	2	1
['GCA_76715']	2	1
['GCA_84345']	2	1
['GCA_90710', 'GCA_39700', 'GCA_283780', 'GCA_198177', 'GCA_117187']	2	5
['GCA_268822']	2	1
['GCA_56390']	2	1
['GCA_268881']	2	1
['GCA_262883']	2	1
['GCA_242537']	2	1
['GCA_275886', 'GCA_275885']	2	2
['GCA_148369', 'GCA_148368']	2	2
['GCA_74702', 'GCA_313405']	2	2
['GCA_27586']	2	1
['GCA_261454']	2	1
['GCA_242388']	2	1
['GCA_273708']	2	1
['GCA_135103', 'GCA_135100']	2	2
['GCA_192050', 'GCA_107716']	2	2
['GCA_50515']	2	1
['GCA_152779']	2	1
['GCA_260482']	2	1
['GCA_234404']	2	1
['GCA_168529']	2	1
['GCA_65636']	2	1
['GCA_239180']	2	1
['GCA_314296']	2	1
['GCA_107496']	2	1
['GCA_57495']	2	1
['GCA_66489']	2	1
['GCA_156990']	2	1
['GCA_28950']	2	1
['GCA_120537']	2	1
['GCA_11340']	2	1
['GCA_273901']	2	1
['GCA_93690', 'GCA_215300']	2	2
['GCA_27607', 'GCA_27604']	2	2
['GCA_267868']	2	1
['GCA_7040']	2	1
['GCA_24526']	2	1
['GCA_221787']	2	1
['GCA_98827']	2	1
['GCA_174669']	2	1
['GCA_292330']	2	1
['GCA_214386']	2	1
['GCA_87165']	2	1
['GCA_190970']	2	1
['GCA_216971']	2	1
['GCA_188669']	2	1
['GCA_239336']	2	1
['GCA_180724']	2	1
['GCA_228276']	2	1
['GCA_168262']	2	1
['GCA_296102']	2	1
['GCA_18509']	2	1
['GCA_133998']	2	1
['GCA_166475']	2	1
['GCA_114212']	2	1
['GCA_207356']	2	1
['GCA_131643']	2	1
['GCA_285159']	2	1
['GCA_317985', 'GCA_317984']	2	2
['GCA_186006']	2	1
['GCA_92462']	2	1
['GCA_269322']	2	1
['GCA_266369']	2	1
['GCA_179155', 'GCA_169625']	2	2
['GCA_311025']	2	1
['GCA_145543']	2	1
['GCA_171926']	2	1
['GCA_265287']	2	1
['GCA_274448']	2	1
['GCA_139448']	2	1
['GCA_170205']	2	1
['GCA_302743']	2	1
['GCA_162049']	2	1
['GCA_201069']	2	1
['GCA_230523']	2	1
['GCA_132999']	2	1
['GCA_147877']	2	1
['GCA_213376']	2	1
['GCA_184044']	2	1
['GCA_209108']	2	1
['GCA_310494']	2	1
['GCA_218044']	2	1
['GCA_94649']	2	1
['GCA_253299']	2	1
['GCA_133295']	2	1
['GCA_272272']	2	1
['GCA_26523', 'GCA_26519']	2	2
['GCA_160613']	2	1
['GCA_88148']	2	1
['GCA_229337']	2	1
['GCA_227360']	2	1
['GCA_60435']	2	1
['GCA_17924']	2	1
['GCA_15121']	2	1
['GCA_235408']	2	1
['GCA_179739']	2	1
['GCA_79915']	2	1
['GCA_217037']	2	1
['GCA_157372']	2	1
['GCA_218593']	2	1
['GCA_297755']	2	1
['GCA_285850']	2	1
['GCA_184211']	2	1
['GCA_224771']	2	1
